system,project_id,tp,fp,fn,high_tp,high_fn,current_tables,clean_tables,true_negative_tables,issue_bearing_tables,issue_tables_predicted_clean,autoapproved_tables,unsafe_autoapproved_tables,pages_total,pages_read,rows_total,rows_extracted,numeric_cells_evaluated,numeric_cells_exact,cells_recovered_by_self_check,input_tokens_simulated,output_tokens_simulated,latency_seconds_simulated_serial
rules_only,SYN-P001,2,0,3,1,3,10,5,5,5,3,8,3,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P002,0,0,3,0,2,10,7,7,3,3,10,3,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P003,0,0,2,0,1,10,8,8,2,2,10,2,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P004,1,0,2,0,2,10,7,7,3,2,9,2,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P005,0,0,4,0,4,10,6,6,4,4,10,4,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P006,0,0,3,0,2,10,7,7,3,3,10,3,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P007,1,0,3,0,1,10,6,6,4,3,9,3,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P008,2,0,3,1,3,10,5,5,5,3,8,3,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P009,0,0,2,0,2,10,8,8,2,2,10,2,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P010,0,0,2,0,1,10,8,8,2,2,10,2,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P011,1,0,3,0,3,10,6,6,4,3,9,3,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P012,1,0,4,0,4,10,5,5,5,4,9,4,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P013,0,0,3,0,2,10,7,7,3,3,10,3,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P014,1,0,2,0,0,10,7,7,3,2,9,2,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P015,2,0,2,1,2,10,6,6,4,2,8,2,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P016,0,0,3,0,3,10,7,7,3,3,10,3,20,20,0,0,0,0,0,0,0,0.0
rules_only,SYN-P017,0,0,3,0,2,10,7,7,3,3,10,3,20,20,0,0,0,0,0,0,0,0.0
